model,gamma,dataset,id,y_correct,y_demand,f1,f2,f3,f4,f1_rand,f2_rand,marker_hit,avg_proj
Llama-3.1-8B-Instruct,0,mmlu,,1,0,-0.3000754565000534,0.06231012940406799,0.34129140042932704,1.25,0.034989734180271626,0.09444252401590347,0,-0.3000754565000534
Llama-3.1-8B-Instruct,0,mmlu,,1,0,-0.06018878519535065,0.36274731159210205,0.10589181206159992,4.0,0.05849024839699268,0.07892630994319916,0,-0.06018878519535065
Llama-3.1-8B-Instruct,0,mmlu,,1,1,-0.22446364164352417,0.24078798294067383,0.20354713965207338,3.0,0.11702164821326733,0.19257985055446625,0,-0.22446364164352417
Llama-3.1-8B-Instruct,0,mmlu,,1,0,-0.026257649064064026,0.3125837743282318,0.00419614277780056,8.0,0.006504443474113941,0.00772473681718111,0,-0.026257649064064026
Llama-3.1-8B-Instruct,0,mmlu,,0,0,-0.33637139946222305,0.21153156459331512,0.4762756574200466,1.25,0.11756038293242455,0.12030873447656631,0,-0.33637139946222305
Llama-3.1-8B-Instruct,0,mmlu,,0,0,-0.24419457465410233,0.21237318217754364,0.6162283746525645,1.0,0.09526044502854347,0.13110482692718506,0,-0.24419457465410233
Llama-3.1-8B-Instruct,0,mmlu,,1,0,0.07584522664546967,0.3739631474018097,0.002132394118234515,9.25,0.06804737681522965,0.12892697751522064,0,0.07584522664546967
Llama-3.1-8B-Instruct,0,mmlu,,0,1,-0.286229744553566,0.1521652638912201,0.5015393201028928,0.75,0.13435513526201248,0.17523352801799774,0,-0.286229744553566
Llama-3.1-8B-Instruct,0,mmlu,,1,0,-0.03703498840332031,0.4023597240447998,0.050179039593786,4.5,0.1023768000304699,0.16013292968273163,0,-0.03703498840332031
Llama-3.1-8B-Instruct,0,mmlu,,1,0,9.012222290039062e-05,0.33004796504974365,0.0025589185243006796,7.875,-0.01059027947485447,0.046234387904405594,0,9.012222290039062e-05
Llama-3.1-8B-Instruct,0,mmlu,,1,0,-0.17278915643692017,0.3617541193962097,0.5234906905388925,0.125,0.05872739292681217,0.07486649602651596,0,-0.17278915643692017
Llama-3.1-8B-Instruct,0,mmlu,,1,0,-0.3606503829360008,0.15552546083927155,0.19759614957729355,2.0,0.1501559428870678,0.1766648292541504,0,-0.3606503829360008
Llama-3.1-8B-Instruct,0,mmlu,,0,1,-0.2636365741491318,0.21540114283561707,0.5205961226020008,0.75,0.06504315696656704,0.15386350452899933,0,-0.2636365741491318
Llama-3.1-8B-Instruct,0,mmlu,,1,1,-0.23843607306480408,0.2632775902748108,0.4452517032623291,1.625,0.11087510734796524,0.11880967766046524,0,-0.23843607306480408
Llama-3.1-8B-Instruct,0,mmlu,,0,0,-0.2691963165998459,0.15665528178215027,0.6410092164296657,0.125,0.07404324319213629,0.12830203771591187,0,-0.2691963165998459
Llama-3.1-8B-Instruct,0,mmlu,,1,1,-0.25212472677230835,0.22426730394363403,0.5593127906322479,2.5,0.07988150883466005,0.1589261144399643,0,-0.25212472677230835
Llama-3.1-8B-Instruct,0,mmlu,,0,1,-0.20693261921405792,0.25559720396995544,0.29893386363983154,2.75,0.08670385926961899,0.15697981417179108,0,-0.20693261921405792
Llama-3.1-8B-Instruct,0,mmlu,,1,0,-0.12177178263664246,0.15433329343795776,0.003330708364956081,8.25,-0.057172367349267006,-0.039636578410863876,0,-0.12177178263664246
Llama-3.1-8B-Instruct,0,mmlu,,0,0,-0.28964756429195404,0.1587693989276886,0.6186152515001595,0.5,0.0900320028886199,0.16995644569396973,0,-0.28964756429195404
Llama-3.1-8B-Instruct,0,mmlu,,0,1,-0.06774924695491791,0.3634272515773773,0.1300213645445183,3.0,0.08015923202037811,0.10030439496040344,0,-0.06774924695491791
Llama-3.1-8B-Instruct,0,mmlu,,0,0,-0.20914768427610397,0.1854553371667862,0.5282436215784401,1.375,0.04828761052340269,0.11614355444908142,0,-0.20914768427610397
